File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
D:\projectty\Oldproject\Aboutus.aspx.cs,14,12,8,0,2,0,0,0,0,0
D:\projectty\Oldproject\Adminpanel.aspx.cs,14,12,8,0,2,0,0,0,0,0
D:\projectty\Oldproject\Blogguest.aspx.cs,28,27,23,0,1,0,0,0,0,0
D:\projectty\Oldproject\blogsingleg.aspx.cs,30,29,25,0,1,0,0,0,0,0
D:\projectty\Oldproject\carproductg.aspx.cs,32,30,26,0,2,0,0,0,0,0
D:\projectty\Oldproject\carsinfog.aspx.cs,104,98,60,4,6,0,0,0,0,0
D:\projectty\Oldproject\cars_info_productg.aspx.cs,31,29,25,0,2,0,0,0,0,0
D:\projectty\Oldproject\compareg.aspx.cs,177,150,126,5,26,0,1,12,0,0
D:\projectty\Oldproject\Default.aspx.cs,14,12,8,0,2,0,0,0,0,0
D:\projectty\Oldproject\feedback.aspx.cs,46,39,29,0,2,0,5,18,0,0
D:\projectty\Oldproject\Home2.aspx.cs,58,49,45,0,9,0,0,0,0,0
D:\projectty\Oldproject\Masterheadfoot.master.cs,16,13,9,0,3,0,0,0,0,0
D:\projectty\Oldproject\order_details.aspx.cs,14,12,8,0,2,0,0,0,0,0
D:\projectty\Oldproject\spinfog.aspx.cs,30,27,23,0,3,0,0,0,0,0
D:\projectty\Oldproject\spproductg.aspx.cs,38,36,30,0,2,0,0,0,0,0
D:\projectty\Oldproject\update_order.aspx.cs,54,45,35,2,8,0,1,18,0,0
D:\projectty\Oldproject\Admin\Admin.aspx.cs,50,43,33,3,7,0,0,0,0,0
D:\projectty\Oldproject\Admin\banUpload.aspx.cs,32,29,23,0,3,0,0,0,0,0
D:\projectty\Oldproject\Admin\Buyer_Users.aspx.cs,17,14,10,0,3,0,0,0,0,0
D:\projectty\Oldproject\Admin\carform.aspx.cs,37,32,26,0,5,0,0,0,0,0
D:\projectty\Oldproject\Admin\Cars_details.aspx.cs,14,12,8,0,2,0,0,0,0,0
D:\projectty\Oldproject\Admin\Cars_info_Form.aspx.cs,123,110,104,0,8,0,5,13,0,0
D:\projectty\Oldproject\Admin\MasterPage.master.cs,36,29,19,1,7,0,0,0,0,0
D:\projectty\Oldproject\Admin\Seller_Users.aspx.cs,14,12,8,0,2,0,0,0,0,0
D:\projectty\Oldproject\Admin\Spform.aspx.cs,42,35,29,0,7,0,0,0,0,0
D:\projectty\Oldproject\Admin\sponser.aspx.cs,28,26,22,0,2,0,0,0,0,0
D:\projectty\Oldproject\App_Code\Class1.cs,36,27,19,3,5,0,4,14,0,0
D:\projectty\Oldproject\Cart\ShowCart.aspx.cs,88,53,43,1,13,0,22,81,0,0
D:\projectty\Oldproject\imp\Login.aspx.cs,82,75,51,6,7,0,0,0,0,0
D:\projectty\Oldproject\imp\registration.aspx.cs,63,56,42,2,7,0,0,0,0,0
D:\projectty\Oldproject\User\Blog.aspx.cs,45,42,32,1,3,0,0,0,0,0
D:\projectty\Oldproject\User\Blogsingle.aspx.cs,31,29,25,0,2,0,0,0,0,0
D:\projectty\Oldproject\User\Blogwrite.aspx.cs,65,54,46,0,11,0,0,0,0,0
D:\projectty\Oldproject\User\Carsinfo.aspx.cs,118,111,67,5,7,0,0,0,0,0
D:\projectty\Oldproject\User\carsproduct.aspx.cs,41,38,32,0,3,0,0,0,0,0
D:\projectty\Oldproject\User\car_info_product.aspx.cs,48,44,34,1,4,0,0,0,0,0
D:\projectty\Oldproject\User\checkout.aspx.cs,21,20,12,1,1,0,0,0,0,0
D:\projectty\Oldproject\User\compar.aspx.cs,192,165,135,6,26,0,1,12,0,0
D:\projectty\Oldproject\User\contact.aspx.cs,14,12,8,0,2,0,0,0,0,0
D:\projectty\Oldproject\User\CreatePassword.aspx.cs,114,81,56,3,17,0,16,257,0,0
D:\projectty\Oldproject\User\deletecart.aspx.cs,27,25,21,0,2,0,0,0,0,0
D:\projectty\Oldproject\User\forgetpassword.aspx.cs,112,82,63,3,10,0,20,300,0,0
D:\projectty\Oldproject\User\Login.aspx.cs,82,75,51,6,7,0,0,0,0,0
D:\projectty\Oldproject\User\payment.aspx.cs,59,42,36,1,17,0,0,0,0,0
D:\projectty\Oldproject\User\payment_success.aspx.cs,177,133,112,10,39,0,5,11,0,0
D:\projectty\Oldproject\User\registration.aspx.cs,63,56,42,2,7,0,0,0,0,0
D:\projectty\Oldproject\User\spinfo.aspx.cs,48,42,32,1,6,0,0,0,0,0
D:\projectty\Oldproject\User\spproduct.aspx.cs,77,68,54,2,9,0,0,0,0,0
D:\projectty\Oldproject\User\test.aspx.cs,14,12,8,0,2,0,0,0,0,0
D:\projectty\Oldproject\User\update.aspx.cs,67,62,44,3,4,0,1,18,0,0
D:\projectty\Oldproject\User\UserHome.aspx.cs,78,64,54,1,14,0,0,0,0,0
